2025-09-15 15:09:39 | lr:0.0001 | seed:1 | epoch 19: | Train_loss: 0.8368, | Train_acc: 79.04%, Val_acc: 72.0659%(correct=6183322, total=8580096)
2025-09-15 15:09:41 | lr:0.0001 | seed:1 | epoch 20: | Train_loss: 0.7935, | Train_acc: 80.16%, Val_acc: 74.1227%(correct=6359798, total=8580096)
2025-09-15 15:09:43 | lr:0.0001 | seed:1 | epoch 21: | Train_loss: 0.7574, | Train_acc: 80.83%, Val_acc: 74.2351%(correct=6369446, total=8580096)
2025-09-15 15:09:46 | lr:0.0001 | seed:1 | epoch 22: | Train_loss: 0.7705, | Train_acc: 80.50%, Val_acc: 73.8398%(correct=6335523, total=8580096)
2025-09-15 15:09:49 | lr:0.0001 | seed:1 | epoch 23: | Train_loss: 0.7496, | Train_acc: 80.49%, Val_acc: 73.8548%(correct=6336816, total=8580096)
2025-09-15 15:09:52 | lr:0.0001 | seed:1 | epoch 24: | Train_loss: 0.7224, | Train_acc: 80.93%, Val_acc: 73.6988%(correct=6323426, total=8580096)
2025-09-15 15:09:54 | lr:0.0001 | seed:1 | epoch 25: | Train_loss: 0.7222, | Train_acc: 81.06%, Val_acc: 73.9742%(correct=6347054, total=8580096)
2025-09-15 15:09:57 | lr:0.0001 | seed:1 | epoch 26: | Train_loss: 0.6973, | Train_acc: 81.11%, Val_acc: 74.1307%(correct=6360482, total=8580096)
2025-09-15 15:10:00 | lr:0.0001 | seed:1 | epoch 27: | Train_loss: 0.6917, | Train_acc: 81.31%, Val_acc: 74.0725%(correct=6355492, total=8580096)
2025-09-15 15:10:02 | lr:0.0001 | seed:1 | epoch 28: | Train_loss: 0.6920, | Train_acc: 81.22%, Val_acc: 73.9618%(correct=6345993, total=8580096)
2025-09-15 15:10:05 | lr:0.0001 | seed:1 | epoch 29: | Train_loss: 0.6860, | Train_acc: 81.37%, Val_acc: 73.9399%(correct=6344116, total=8580096)
2025-09-15 15:10:08 | lr:0.0001 | seed:1 | epoch 30: | Train_loss: 0.6822, | Train_acc: 81.41%, Val_acc: 73.9399%(correct=6344116, total=8580096)
2025-09-15 15:10:15 | lr:1e-05 | seed:1 | epoch 0: | Train_loss: 1.8957, | Train_acc: 61.26%, Val_acc: 73.0755%(correct=6269948, total=8580096)
2025-09-15 15:10:18 | lr:1e-05 | seed:1 | epoch 1: | Train_loss: 1.2015, | Train_acc: 79.33%, Val_acc: 74.2233%(correct=6368432, total=8580096)
2025-09-15 15:10:20 | lr:1e-05 | seed:1 | epoch 2: | Train_loss: 1.0691, | Train_acc: 79.59%, Val_acc: 74.2328%(correct=6369245, total=8580096)
2025-09-15 15:10:23 | lr:1e-05 | seed:1 | epoch 3: | Train_loss: 1.0500, | Train_acc: 79.83%, Val_acc: 74.2527%(correct=6370956, total=8580096)
2025-09-15 15:10:26 | lr:1e-05 | seed:1 | epoch 4: | Train_loss: 1.0325, | Train_acc: 79.60%, Val_acc: 74.2595%(correct=6371533, total=8580096)
2025-09-15 15:10:29 | lr:1e-05 | seed:1 | epoch 5: | Train_loss: 0.9593, | Train_acc: 79.57%, Val_acc: 74.2596%(correct=6371547, total=8580096)
2025-09-15 15:10:31 | lr:1e-05 | seed:1 | epoch 6: | Train_loss: 0.9783, | Train_acc: 79.81%, Val_acc: 74.2462%(correct=6370398, total=8580096)
2025-09-15 15:10:34 | lr:1e-05 | seed:1 | epoch 7: | Train_loss: 0.9846, | Train_acc: 79.90%, Val_acc: 74.0180%(correct=6350819, total=8580096)
2025-09-15 15:10:36 | lr:1e-05 | seed:1 | epoch 8: | Train_loss: 0.9247, | Train_acc: 79.56%, Val_acc: 74.2590%(correct=6371497, total=8580096)
2025-09-15 15:10:39 | lr:1e-05 | seed:1 | epoch 9: | Train_loss: 0.9200, | Train_acc: 80.01%, Val_acc: 74.2596%(correct=6371541, total=8580096)
2025-09-15 15:10:42 | lr:1e-05 | seed:1 | epoch 10: | Train_loss: 0.9198, | Train_acc: 79.99%, Val_acc: 73.8712%(correct=6338218, total=8580096)
2025-09-15 15:10:44 | lr:1e-05 | seed:1 | epoch 11: | Train_loss: 0.9127, | Train_acc: 79.27%, Val_acc: 74.1996%(correct=6366399, total=8580096)
2025-09-15 15:10:47 | lr:1e-05 | seed:1 | epoch 12: | Train_loss: 0.8814, | Train_acc: 80.03%, Val_acc: 74.2581%(correct=6371413, total=8580096)
2025-09-15 15:10:50 | lr:1e-05 | seed:1 | epoch 13: | Train_loss: 0.9224, | Train_acc: 79.58%, Val_acc: 74.1141%(correct=6359060, total=8580096)
2025-09-15 15:10:52 | lr:1e-05 | seed:1 | epoch 14: | Train_loss: 0.8577, | Train_acc: 80.39%, Val_acc: 74.2324%(correct=6369214, total=8580096)
2025-09-15 15:10:55 | lr:1e-05 | seed:1 | epoch 15: | Train_loss: 0.8733, | Train_acc: 79.43%, Val_acc: 74.2482%(correct=6370565, total=8580096)
2025-09-15 15:10:58 | lr:1e-05 | seed:1 | epoch 16: | Train_loss: 0.8631, | Train_acc: 80.16%, Val_acc: 74.2548%(correct=6371132, total=8580096)
